2021-11-27/12:07:12		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-27/12:08:05		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-27/12:10:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-27/12:10:04		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-27/12:10:05		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-27/12:10:05		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-27/12:10:06		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-27/12:10:06		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-27/12:10:06		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-11-27/12:23:09		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-11-27/12:23:09		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-11-27/12:23:09		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-11-27/12:23:10		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-11-27/12:23:10		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-11-27/12:23:10		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-11-27/12:23:11		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-11-27/12:23:11		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-11-27/12:23:12		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/15:32:56		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/15:32:56		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/15:32:56		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/15:32:57		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/15:32:57		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/15:32:58		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/15:32:58		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/15:32:59		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/15:32:59		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/16:18:18		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/16:18:19		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/16:18:19		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/16:18:20		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/16:18:20		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/16:18:21		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/16:18:22		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/16:18:22		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/16:18:23		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/17:45:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/17:45:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/17:45:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/17:45:35		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/17:45:36		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/17:45:36		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/17:45:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/17:45:37		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/17:45:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/17:54:41		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/17:54:41		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/17:54:41		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/17:54:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/17:54:42		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/17:54:42		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/17:54:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/17:54:43		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/17:54:43		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/18:55:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/18:55:44		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/18:55:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/18:55:45		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/18:55:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/18:55:45		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/18:55:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/18:55:46		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/18:55:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2021-12-18/18:59:46		 wafer_13012020_090817.csv: File Transformed successfully!!
2021-12-18/18:59:47		 wafer_16012020_051629.csv: File Transformed successfully!!
2021-12-18/18:59:47		 wafer_20022020_090716.csv: File Transformed successfully!!
2021-12-18/18:59:47		 wafer_21012020_080913.csv: File Transformed successfully!!
2021-12-18/18:59:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2021-12-18/18:59:48		 wafer_27012020_080911.csv: File Transformed successfully!!
2021-12-18/18:59:48		 wafer_28012020_090817.csv: File Transformed successfully!!
2021-12-18/18:59:49		 wafer_28042020_031911.csv: File Transformed successfully!!
2021-12-18/18:59:49		 wafer_29012020_050617.csv: File Transformed successfully!!
